Entrada,paginas,Gall,Port,Fr,Val,Cat,Prov,Cast,Mall,Vasc,Lat,Rum,Alb,It
CAPILLÁR,95,None,None,None,None,None,None,capellár,None,None,None,None,None,None
CÁPITHA,95,None,None,None,None,None,None,None,None,None,None,None,None,None
CAPITHÓLIO,95,None,capitolio,captóle,capitólij,None,None,capitolio,None,None,capitolium,None,None,campidoglio
CAPÓN,96,None,capáo,chapón,capó,capó,é,None,None,None,Gr,None,kapon,cappone
CAPPA,96,None,None,None,None,None,None,None,None,None,None,None,None,None
CAPPÁRA,96,None,None,None,None,None,None,None,None,None,None,None,None,None
CAPPÓT,97,None,None,None,None,None,None,None,None,None,None,None,None,None
CAPPUQ,97,None,None,None,None,None,None,None,None,None,None,None,None,None
CAPTHÁL,97,None,None,None,None,None,None,None,None,None,cáptale,None,None,None
CAPTHORNO,97,None,torno,tour,cap,cap,torn,torno,None,None,capitulum,None,None,None
CAPÚCH,97,None,None,None,None,None,None,None,None,None,None,None,None,None
CARAÁNCA,98,None,carranca,carean,None,None,None,carlanca,None,lepacharrancha,carcannum,None,None,caréame
CARÁB,98,None,None,None,None,None,None,cárabo,None,None,corvus,None,None,None
CARABÁLL,99,carabela,None,None,None,None,None,None,None,None,None,None,None,None
CARABÁSA,99,None,None,None,None,None,None,None,None,None,None,None,None,None
CARABASSENA,99,calacú,None,None,None,None,None,None,None,None,cucúrbita,None,None,None
CARACARUÉCHA,99,None,None,None,None,quicaraquichs,cacalacá,None,None,None,del,None,None,None
CARBATH,100,None,None,None,None,None,None,None,None,None,None,None,None,None
CARCA,100,None,carga,charge,cárrega,None,carga,carricar,None,None,carga,None,None,careos
IOI,100,None,carda,None,cardonja,None,carda,cardencha,None,None,None,None,None,None
CARDÁCHA,101,None,None,None,None,None,None,None,None,None,None,None,None,None
CARDÁIRA,101,None,cardal,None,cardar,None,None,cardenchal,None,None,cardarius,None,None,None
CARDÉL,101,None,None,None,cardet,cárt,cardusses,cardillo,None,None,None,None,None,None
CARDENELLA,102,None,None,None,None,None,None,None,None,None,None,None,None,None
CARDHETH,102,None,None,None,None,None,None,None,None,None,None,None,None,None
CARDHÍL,103,None,None,None,None,None,None,None,None,None,None,None,None,None
CARDO,103,None,None,None,None,None,None,None,None,None,None,None,None,None
CARDÓN,103,None,None,chardon,cardonja,cardot,car,cardón,None,None,None,None,None,car
CARDÓNECH,103,None,None,None,None,None,None,cardo,None,None,None,None,None,None
CARÉNI,104,None,None,None,None,None,None,None,None,None,None,None,None,None
CARÍNA,104,None,crena,carene,None,None,é,None,None,None,carina,None,None,carena
CARNÍTH,105,None,None,charnu,carnut,None,carnut,carnudo,None,None,carnutus,None,None,carnutOj
CARRÁIRA,105,None,None,None,None,None,None,None,None,None,None,None,None,None
CARRAXQUÍLLA,106,None,None,None,None,None,None,carrasquilla,None,None,None,None,None,None
CARRETA,106,None,None,None,None,None,None,None,None,None,None,None,None,None
CARREYRA,107,None,carrito,None,carris,y,None,carrizo,None,None,carectum,None,None,carice
CARRÍCH,107,None,carrinho,char,carret,None,car,carrillo,None,None,carrigium,car,None,None
CARTABÓN,108,None,None,None,None,y,None,cartabón,None,cartajoia,quár,None,None,quartabuono
CASAR,109,cascallo,None,None,None,None,None,cascajo,None,None,None,None,None,None
CASTEL,110,None,é,chdteau,cas,castillo,None,y,None,gasté,castellum,None,None,castello
CASTELLION,110,None,None,Chastillon,Castéllo,Castéllo,None,ggr,None,None,castellio,None,None,Castiglione
CHASTHÓRA,111,None,castóreo,None,None,castóreo,None,é,None,None,Gr,None,None,cast
CATHECÚMENO,112,None,é,catechumene,catecü,None,catechumeno,None,None,None,Gr,None,None,catecúmeno
CATHELLO,112,None,None,None,None,candell,None,None,None,None,None,None,None,None
CATHÉNA,112,cadéa,cadéa,chaíne,cadena,None,cadena,None,None,None,catena,None,None,catena
CATHÓLICO,113,None,catholico,catholique,catolich,catolich,catholique,católico,None,None,None,None,None,c
CATTHANA,113,None,None,None,None,None,None,None,None,None,None,None,None,None
CAUCAN,113,None,None,None,None,None,None,None,None,None,None,None,None,None
CAXCAR,114,None,cascar,None,None,None,None,None,None,None,quassicare,None,None,None
CAXTANNA,114,None,None,None,None,None,None,None,None,None,None,None,None,None
CAXTANNUELA,114,None,None,None,castanyola,castanyola,None,castañuela,None,None,None,None,None,None
CAXTHÁNIA,115,None,None,None,None,None,None,None,None,None,None,None,None,None
CAXTÍL,115,None,None,None,None,None,None,None,None,None,None,None,None,None
CAXTILYÓN,115,None,None,None,None,None,None,None,None,None,None,None,None,None
CAXTOR,115,None,None,None,None,None,None,None,None,None,cuneus,None,None,None
CAZAPÓRRA,116,None,cachamorra,None,casporra,catxaporra,None,cachiporra,None,None,ca,None,None,None
CAZTÁLLA,117,None,None,None,None,None,None,None,None,None,None,None,None,None
CERPÓL,117,None,None,None,None,None,None,None,None,None,None,None,None,None
CERUIGÍA,117,None,cirurgm,None,é,None,cirurgm,None,None,None,Gr,None,None,chirurgia
CINÁB,117,None,None,None,None,None,None,None,None,None,None,None,None,None
CIZÉRCHA,117,None,None,cicerole,None,None,None,cicer,None,None,cicércula,None,None,cicer
CLERIQUÍ,117,crego,clérigo,elere,clergue,y,clergue,clérigo,None,None,Gr,None,None,chérico
COBÁTIA,117,None,None,None,covaja,covaíxa,None,covacha,None,None,None,None,None,None
COCHILLÁTHA,121,None,None,coquerelle,None,None,None,veji,None,None,coquillatus,None,None,None
COCHÍNA,121,cocina,cozinha,cuis,cuina,cuina,cozina,cocina,None,None,None,None,None,None
CODAL,121,None,None,None,None,None,None,None,None,None,None,None,None,None
CÓDE,122,None,é,é,códich,códich,códi,código,None,None,None,códica,None,códice
COFIA,122,None,None,None,y,None,None,None,None,None,None,None,None,None
COHHILLÁTHA,122,None,None,None,None,None,None,None,None,None,None,None,None,None
COL,122,None,é,None,coll,None,coll,col,None,None,collis,None,None,colle
COLÉCHA,122,None,None,None,None,None,None,None,None,None,caulicula,None,None,None
COLL,123,None,colophonia,colophane,None,None,colophonia,None,None,None,Gr,None,None,colo
COLÓM,124,Columba,None,None,y,Colom,colomh,Colon,None,None,colombus,None,None,Colombo
COMBLÓCHCHA,124,comblueza,comborga,None,None,None,None,combleza,None,None,complex,None,None,None
COMENDATHÍCHIO,125,None,None,None,None,None,None,carta,None,None,commendatitia,None,None,None
COMES,125,None,None,None,None,None,None,None,None,None,None,None,None,None
CÓMTH,127,None,None,None,None,None,None,None,None,None,None,None,None,None
COMUNICATHÓRIA,127,None,None,None,None,None,None,cuenca,None,None,communicatori,None,None,None
COND,129,None,None,None,None,None,None,None,None,None,None,None,None,None
CONELYA,129,None,None,None,None,None,None,None,None,None,None,None,None,None
CONFÍT,129,None,confeito,None,confia,confia,None,canj,None,None,None,None,None,None
CONJÁYR,130,None,None,None,None,None,None,cópano,None,None,caupillus,None,None,None
COPA,130,None,None,None,None,None,None,None,None,None,None,None,None,None
CORACHÓN,131,None,corafon,cozur,None,y,id,corazón,None,None,cor,None,None,cuore
CORACHONÁIRA,131,None,é,corail,None,None,coural,None,None,None,None,None,None,corallio
CORAL,131,None,é,corail,None,None,coural,None,None,None,cor,None,None,corallio
CÓRBA,131,None,None,None,None,None,None,None,None,None,None,None,None,None
CORBÁCH,131,None,é,corb,None,None,corbás,corbato,None,None,corvus,corb,None,corbo
CORBÍTHA,131,None,None,corbette,None,y,corveta,None,None,None,corbita,None,None,None
CORC,131,None,ALCORQUE,None,None,None,None,ALCORQUE,None,None,None,None,None,None
CORCOMÚL,132,None,None,None,caramull,crumull,None,cogolmar,None,None,cumulus,None,None,None
CORCHONÁIRA,133,None,None,None,None,None,None,None,None,None,None,None,None,None
CORDÚL,133,None,None,None,None,None,None,None,None,None,None,None,None,None
COREPÍXCOPO,133,None,chorebispo,cho,None,None,None,corepiscopo,None,None,chorepiscopus,None,None,None
CORMA,133,None,None,None,None,None,None,None,None,None,None,None,None,None
CORMÚQ,134,None,None,None,None,None,None,None,None,None,culmus,None,None,None
CORNEJA,134,None,None,corneille,None,Cornelia,cornelha3,cornejay,None,None,cornicula,None,None,cornacchia
CORNÍTH,134,None,None,None,None,None,None,cornuda,None,None,None,None,None,None
CORNÓLYO,135,None,comiso,cornouiller,None,comer,acurnier,cornejo,None,None,cornolium,None,None,None
CORÓL,135,None,None,None,None,None,None,None,None,None,None,None,None,None
CORÓCA,135,None,None,None,None,None,None,None,None,None,None,None,None,None
CORONA,135,coróa,coróa,cou,é,None,courouna,None,None,None,Gr,cununa,None,None
CORÓNICA,135,None,chrónica,chronique,é,None,chrónica,y,None,None,chrónica,None,None,crónaca
CORONÍLLA,135,None,coroa,None,coronela,coronela,None,coronilla,None,None,ser,None,None,None
CORQ,136,None,None,None,None,None,None,None,None,None,None,None,None,None
CORRA,136,correj,corra,None,None,None,None,None,None,None,None,None,None,None
CORRAL,136,None,mod,None,mod,cor,courral,corral,None,None,corralle3,None,None,None
CORRÉYA,136,None,correa,courroie,None,corretja,y,correa,None,None,None,curé,None,coreggia
CORRIÓLA,137,None,None,None,None,None,None,correilla,None,None,corrigiola,None,None,coreggiola
CORS,137,None,corf,None,corf,corso,None,corzo,None,None,Gr,None,None,None
CORTÁL,137,None,None,None,None,None,None,None,None,None,cortal,None,None,corille
CORTE,138,corte,corte,cort,corr,None,y,corte,None,gorta,None,None,None,None
CORTHÍCHO,138,None,None,courtil,None,de,courtil,cortijoj,None,None,cor,None,None,None
CORTÍCHA,138,cortiza,cortifa,None,corjo,escorxa,None,corcha,None,corcha,cortex,None,None,None
CORTÍCHE,138,None,None,None,None,None,None,None,None,None,None,None,None,None
CORTINA,139,cortina,cortinhal,None,None,None,None,cortina,None,None,cortina,None,None,None
CORTÍX,139,cortello,cortelho,None,None,None,None,None,None,None,None,None,None,corte
CORVÉL,139,None,None,None,corhella,None,None,corvillo,None,None,None,None,None,None
COTA,139,None,Irl,cote,None,None,cota,coto,None,cotea,cota,None,None,cotta
GOTHÁL,139,None,None,None,None,None,None,None,None,None,None,None,None,None
COTHINÓN,140,None,None,None,None,None,None,None,None,None,None,None,None,None
COTINUÉLA,140,None,None,None,None,olivereta,None,lau,None,None,None,None,None,None
COTÓZ,140,None,None,None,None,None,None,None,None,None,None,None,None,None
CÓXTERA,140,None,costra,croúte,costra,None,é,None,None,None,crusta,None,None,None
CRÁSI,140,None,None,None,None,None,None,None,None,None,mellaceum,None,None,None
CREPÁT,140,crebado,quebrado,crevés,quebrat,quebrat,crebat,quebrado,None,None,crepa,None,None,None
CRÉXPO,141,crispo,é,None,cresp,None,None,None,None,None,crispus,None,None,crespo
CRÉXTA,141,crista,crista,créte,None,None,é,None,None,None,crista,creasta,None,None
CRÍB,141,None,None,crible,crib,y,cribel,criha,None,None,cribrum,ciur,None,None
CRÍCHA,141,None,None,None,None,None,None,None,None,None,None,None,None,None
CRÍXMA,141,None,crisma,créme,crism,None,chrema,None,None,crisma,None,None,None,crésima
CROCO,141,None,é,None,None,None,None,ALCRÓCO,None,None,Gr,None,None,croco
CRUCH,141,None,cruz,croix,creu,crots,crotz,cruz,None,gurutzea,None,None,None,None
CUÁLYO,142,None,coalho,None,cuall,cuall,None,cuajo,None,None,coagulum,None,None,caglio
CUB,142,None,cubo,None,cub,None,None,None,None,None,None,cofa,None,None
CÚBA,142,None,None,None,None,None,None,None,None,None,None,None,None,None
CUBB,143,None,None,None,None,None,None,None,None,None,None,None,None,None
CÚBBA,143,None,None,None,None,None,None,None,None,None,None,None,None,None
CUBBÉL,143,None,None,cuveau,None,cubell,None,cubillo,None,None,cubellum,None,None,None
CUBÉLLA,143,None,None,None,None,None,None,None,None,None,None,None,None,None
CUBIÉLLO,143,None,None,None,None,None,None,cubillos,None,None,Gr,None,None,None
CUBÍLLA,143,None,None,None,None,None,None,None,None,None,None,None,None,None
CUBTHÉL,143,None,None,None,None,None,None,None,None,None,None,None,None,None
CUCARA,144,None,None,pain,None,herba,None,None,None,None,cucarius,None,None,None
CUCÚFFA,145,None,None,None,None,None,None,None,None,None,None,None,None,None
CUCHÍL,145,None,None,None,None,None,None,None,None,None,None,None,None,None
CUENCA,145,None,None,None,None,None,None,None,None,None,None,None,None,None
CUFIA,145,None,None,None,None,None,None,None,None,None,None,None,None,None
CULANTRO,145,None,coentro,None,celiandre,celiandria,courian,culantro,None,None,Gr,None,None,coriandro
CULEBRA,145,None,None,couleuvre,None,y,colobra,None,None,None,coluber,None,None,None
CULÚBRA,145,None,None,None,None,None,None,j,None,None,serpentaria,None,None,None
CULEBRIÉLLA,145,None,cobrinha,None,None,None,None,culebrilla,None,None,None,None,None,None
BRIÉLLA,145,None,None,None,None,None,None,yaro,None,None,None,None,None,None
CULIÁNTRO,146,None,None,None,None,None,None,None,None,None,None,None,None,None
CULTANTRÓLO,146,None,None,None,None,None,None,culantrillo,None,None,None,None,None,None
CIJLO,146,None,cu,None,None,None,J,é,None,None,culus,cur,None,culo
CÚNELA,146,None,None,None,None,None,None,cunilla,None,None,conila,None,None,None
CUNÍL,146,None,None,None,None,None,None,None,None,None,None,None,None,None
CUNILÁYRA,146,None,None,None,None,None,None,None,None,None,None,None,None,None
CUP,146,None,None,None,None,None,None,None,None,None,None,None,None,None
CURLÚCHA,146,None,caga,ver,lluerna,lluerna,luzerna,luciérnaga,None,None,None,None,None,lucciola
CURTHÍL,147,None,None,None,None,None,None,None,None,None,cohors,None,None,None
CUTHREL,147,None,None,None,None,None,None,None,None,None,None,None,None,None
CUTRÍL,147,None,quadrillo,carrean,None,quadrell,carréu,cuadrilloy,None,None,None,None,None,quadrello
CÚXA,147,None,None,None,None,None,None,None,None,None,None,None,None,None
CUXÍR,148,None,None,None,None,None,None,tórculo,None,None,cochlearis,None,None,toreólo
QABÓN,149,xabón,None,None,None,None,None,xabón,None,None,sapo,None,None,None
JABONERA,149,None,é,None,sorra,sorra,None,zahorra,None,None,None,None,None,saburra
CHAMARRA,150,None,None,simarre,famarra,famarra,samarra,chamarra,None,None,None,None,None,None
QANÁCH,151,é,sanja,ciment,f,None,ciment,cimiento,None,None,coementa,None,None,None
QANNÁCH,151,None,None,None,None,None,None,zapatón,None,None,None,None,None,None
QARÁND,151,None,enxarcia,sarchies,y,xárcia,None,sarcia,None,None,sarcia,None,None,sarte
QÁTAL,152,None,None,None,None,None,None,None,None,None,None,None,None,None
CHACRAM,153,None,None,None,None,None,None,None,None,None,discrimínale,None,None,None
CHAQTHAN,153,deitar,deitar,None,gitar,None,getar,echar,None,echatu,jactare,None,None,gettare
CHACHÁN,153,None,None,None,None,None,None,None,None,None,None,None,None,None
CHALLA,153,None,None,None,None,None,None,None,None,None,None,None,None,None
CHAME,153,None,None,None,None,None,None,ortiga,None,None,de,None,None,None
CHANCA,154,None,None,None,None,None,None,None,None,None,zancas,None,None,None
CHAPÁJ,155,None,None,None,None,None,None,None,None,None,None,None,None,None
CHAPÍNA,155,None,None,None,None,None,None,None,None,None,None,None,None,None
CHÁRAFÍYA,155,None,geographia,y,None,None,geographia,None,None,None,None,None,None,geografía
CHARRA,155,None,None,None,None,None,None,None,None,chorraya,cirrus,None,None,None
CHARRÓT,155,None,None,None,None,None,None,None,None,None,None,None,None,None
CHATHÓLICO,156,None,None,None,None,None,None,None,None,None,None,None,None,None
CHAUCHAL,156,None,None,None,None,None,None,cuchichear,None,None,None,None,None,None
CHAUCHAU,156,chauchar,None,None,None,None,None,cuchichiar,None,None,None,None,None,None
CHEBBÉS,157,None,None,None,None,None,None,None,None,None,None,None,None,None
CHEBÓLLA,157,cebóla,cebóla,cive,ceba,None,ceba,cebolla,None,tipulá,ccepa,ceafa,None,cipolla
CHEBOLLILLA,157,None,cebolinha,ciboulette,cebeta,cebeta,cibuleta,CC,None,None,None,None,None,None
CHEBOLLÍN,157,ceboliño,cebolinho,None,None,None,None,cebollino,None,None,None,None,None,cipollino
CHEBS,157,None,None,None,None,None,None,None,None,None,None,None,None,None
CHÉCO,158,None,cegó,None,cegó,None,None,ciego,None,None,c,None,None,None
CHECÍHÉN,158,None,None,None,None,None,None,sancochar,None,None,suheoctus,None,None,None
CHENÍXA,158,cinxa,cinxa,cendre,cendra,cendra,cenre,ceniza,None,None,cinis,cenuxa,None,cenere
CHENIXÉLLA,158,None,None,None,None,None,None,cenicilla,None,None,y,None,None,None
CHENTÁURIA,159,None,None,None,None,None,None,None,None,None,None,None,None,None
GHENTÉNO,159,None,centéo,None,centé,None,None,y,None,None,centenum,None,None,None
CHENSIÁNA,159,None,é,None,y,None,None,None,None,None,centum,None,None,None
CHÉNTO,159,None,é,cent,y,centcaps,None,ciencabezas,None,None,centum,None,None,None
CHENTÓLIO,159,None,ceñ,centón,centó,centó,None,centón,None,None,cento,None,None,centone
CHENTUPÉDES,159,cempés,centopéa,é,centpéus,centpéus,None,ciempifs,None,None,centu,None,None,centogambe
CHERA,160,None,None,cire,None,None,é,None,None,None,cira,ceara,None,cera
CHERÁSIA,160,None,None,None,None,None,None,None,None,None,None,None,None,None
CHÉRVO,160,None,é,cerf,None,None,cérbi,ciervo,None,None,cervus,cerb,None,None
CHERVÚNO,160,None,None,None,cervú,None,None,é,None,None,cervunus,None,None,cervuno
CHETHRIA,160,None,None,None,None,None,None,None,None,None,None,None,None,None
CHIÁTHD,160,ciato,cyatho,cyathe,None,None,None,ciato,None,None,None,None,None,None
CHÍCA,161,None,None,None,None,None,None,None,None,None,c,None,None,None
CHÍCALA,161,None,cigarra,cigale,cigala,None,cigala,cigarra,None,chicharra,é,None,chincale,cicala
CHICAN,161,None,None,None,None,citrago,None,abejera,None,None,citrago,None,None,None
CHÍCO,161,None,None,None,gich,xic,None,chico,None,chiquia,exiguus,None,None,None
CHICUETHA,162,None,ceguda,cigué,None,None,cicuda,ceguta,None,None,cicuta,cucuta,None,None
CHIFLÁTA,162,None,None,soufflet,None,pataflast,None,zaparrada,None,zaplada,sufflare,None,None,None
CHILCHÉL,162,None,None,None,None,None,None,Galilea,None,None,None,None,None,None
CHILBÉLLA,162,None,None,None,None,None,None,None,None,None,None,None,None,None
CHINCHIPÉSA,162,None,None,None,None,None,None,None,None,None,None,None,None,None
CHINTÁURIA,162,None,None,centaurée,centaura,cintória,é,cintória,None,None,centaurea,None,None,centaurea
CHIPÁTU,163,None,None,None,None,None,None,None,None,None,None,None,None,None
CHIPÍN,163,None,chapim,mod,tapí,None,None,chapín,None,chapina,sapinus,None,None,None
CHÍPP,163,None,cepo,ceps,None,None,cep,cepo,None,cepoá,cepus,None,None,None
CHIQUÁLA,164,None,None,None,None,None,None,None,None,None,None,None,None,None
CHÍRA,164,None,None,None,None,None,None,None,None,None,None,None,None,None
CHÍRBA,164,None,é,None,None,None,é,cierva,None,None,cerva,cerba,None,cerva
CHÍRBIO,164,None,None,None,None,None,None,None,None,None,None,None,None,None
CHÍRCA,164,None,None,None,None,None,None,None,None,None,None,None,None,None
CHIRCAL,164,cerqueiral,None,None,None,None,None,None,None,None,None,None,None,None
CHÍRCH,165,None,None,None,None,None,None,None,None,None,None,None,None,None
CHIRÍCH,165,None,None,None,None,None,None,None,None,None,None,None,None,None
CHÍRNIA,165,y,None,None,None,None,None,None,None,None,None,None,None,None
CHIROLA,165,cirjuela,None,None,None,None,None,ciruela,None,None,cereolum,None,None,None
CHÍRQUE,165,None,None,None,None,None,None,None,None,None,None,None,None,None
CHIRR,165,None,None,None,None,None,None,None,None,None,cirrus,None,None,None
CHÍTH,166,None,cidade,cité,cihtat,None,ciutat,ciudad,None,None,civitas,cetate,None,cittá
CHÍTHRIA,166,None,cidra,cedrat,cidra,None,cedrat,cidra,None,cidra,citria,chitru,None,cedrato
CHOCÚTHA,166,None,None,None,None,None,None,None,None,None,None,None,None,None
CHOCHÓN,166,None,None,None,Joig,None,None,chocho,None,chochoá,stultus,None,None,sciocco
CHOMÉTHRICA,167,None,None,y,None,None,None,None,None,None,Gr,None,None,geometría
CHONDORÍNA,167,None,None,None,None,None,None,None,None,None,None,None,None,None
CHOREN,167,None,é,None,ciri,None,ciri,del,None,None,cereus,None,None,None
CHORÓTTHO,167,None,dourado,None,dorat,None,daurat,dorado,None,None,ornatus,None,None,ornato
CHORRIÓL,167,None,gorriao,None,None,None,None,gorrión,None,choarreá,None,None,None,None
CHORRÓ,167,None,chorro,gorge,y,xorro,gorja,chorro,None,chorrea,susurrus,None,None,gorga
CHUCH,168,chuchar,chuchar,sucer,None,xuclar,chucar,y,None,chupatu,None,sug,None,succiare
CHUPÁJA,168,y,golpe,None,y,cop,None,golpe,None,None,None,None,None,None
CHUQ,169,None,toco,souche,soca,soca,soc,zoquete,None,None,choca,None,None,ciocco
CHURRUTJ,170,None,ceroto,None,y,cerot,None,cerote,None,None,cerotum,None,None,cerotto
CHUTH,170,None,None,None,cuch,cuch,None,coco,None,None,None,None,None,None
CHÚXTHO,170,None,é,juste,None,None,juste,y,None,None,None,None,None,giusto
DACA,171,None,da,None,None,None,None,daca,None,None,ad,None,None,quá
DAD,171,None,danfa,danse,danfa,None,dansa,é,None,dantzá,None,None,None,None
DARÁCA,171,None,None,None,None,None,None,None,None,None,None,None,None,None
DÁRTACO,171,None,None,None,None,None,None,None,None,None,None,None,None,None
DÁUCO,171,None,None,None,None,None,None,é,None,None,Gr,None,None,None
DAYAJILÓN,171,None,diachyldo,None,dia,diaquilon,None,diaquilon,None,None,Gr,None,None,None
DECÉMBER,172,None,None,None,None,None,None,None,None,None,None,None,None,None
DED,172,None,None,None,None,None,None,None,None,None,None,None,None,None
DÉDE,172,None,tata,None,None,None,None,taita,None,None,tata,tata,None,None
DEFENXÓR,173,None,defensor,défenseur,None,None,defensor,None,None,None,defensor,None,None,difensore
DEMBEQ,173,None,None,None,None,None,None,None,None,None,None,None,None,None
DEYEN,173,None,dedo,doy,dea,degá,decan,é,None,None,decanus,None,None,decano
DHALLAÁ,173,None,None,doler,None,dolar,dolar,None,None,None,dolo,None,None,None
DIACODÁ,174,None,diacodio,diacode,None,None,diacodo,diacodiony,None,None,Gr,None,None,None
DIACONÍA,174,None,dia,diaconesse,dia,y,None,None,None,None,diaconíssa,None,None,diaconessíi3
DIÁCONO,174,None,y,dia,diach,diáca,dia,None,None,diaconoa,diacon,None,None,None
DIÁMA,174,None,diamd,diamant,None,None,diamant,None,None,diamantea,None,None,None,diamante
DIAMORÓN,175,None,None,None,None,None,None,None,None,None,Gr,None,None,None
DÍCDO,175,None,dedo,doigt,dit,dit,det,dedo,None,None,digitus,deget,None,digito
DID,175,None,None,None,None,None,None,None,None,None,None,None,None,None
DÍGAMO,175,None,digamo,digame,None,None,None,digamo,None,None,Gr,None,None,None
DILFÍN,175,None,delf,None,delfi,delfi,None,y,None,None,None,None,None,None
DÍRXA,176,None,None,None,None,None,None,é,None,None,dressare,None,None,orza
DOBLA,176,None,dobrao,double,dobla,dobló,doubla,doblón,None,dobla,dobla,None,None,dobbla
DÓMNO,177,dono,dono,None,don,don,dom,don,None,None,domnus,domn,None,None
DÓMPNA,177,None,dona,dame,donya,None,domna,doña,None,None,None,None,None,dama
DONNECÁL,178,None,None,None,None,None,None,doñegál,None,None,domnicalis,None,None,None
DONTÓL,178,None,dentáo,dentale,dentol,dentol,daine,dentón,None,None,dentex,dintoiu,None,dentice
DORÁDA,178,dourada,dourada,dorade,é,dorada,auráda,dorada,None,None,dorea,None,None,orada
DORDÚX,179,None,é,tourd,tort,None,tort,None,None,None,turdus,None,None,tordo
DOX,179,None,dois,deux,dos,None,dos,dois,None,None,Gr,doi,None,due
DUCÁD,179,None,ducado,None,y,None,None,ducado,None,None,ducatus,None,None,ducato
DÚCU,179,None,None,None,None,None,None,None,None,None,None,None,None,None
DUCHÁMBER,179,None,None,None,None,None,None,None,None,None,None,None,None,None
DUÉNNA,180,None,None,None,None,None,None,None,None,None,None,None,None,None
DÚLCHA,180,None,None,None,None,None,ulcero,None,None,None,ulcus,None,None,None
DUNBÁQ,180,None,None,None,None,None,None,None,None,None,None,None,None,None
DUNTÁL,180,None,pl,dental,None,None,y,diente,None,None,None,dinte,None,dente
DUO,180,None,None,None,None,None,None,None,None,None,None,None,None,None
DUQ,180,None,duque,duc,duch,duch,duc,duc,None,None,dux,None,None,y
DURÁQUIN,180,None,None,None,None,None,None,None,None,None,None,None,None,None
ISI,180,durainzo,durazio,duraciney,None,None,None,durazno,None,gurazaoa,None,None,None,pesca
DURDUX,181,None,None,None,None,None,None,None,None,None,None,None,None,None
DUX,181,dócei,dócei,dous,dol,dols,None,y,None,None,dulcís,None,None,dolce
ECLÉXIA,181,eigrexa,igreja,église,iglesia,iglesia,eglisa,eglesia,None,None,del,None,None,None
ECHÍNO,182,None,None,None,None,None,None,equino,None,None,Gr,None,None,None
EGLEJA,183,None,None,None,None,None,None,None,None,None,None,None,None,None
EGRÍL,183,leiron,leirdo,lirón,lliró,None,None,lirón,None,None,None,None,None,ghiro
EJXÍLIO,183,None,exilio,exil,eixil,exili,eyssilh,exilio,None,None,exilium,None,None,None
EJXORCHIXTA,183,o,exorcista,exorciste,exorciste,exorcista,exorcisto,y,None,None,Gr,None,None,None
ELCHÍNA,183,None,azinheira,y,None,None,euse,encina,None,None,ilex,None,None,None
ELEFANCÍA,183,None,elephancia,None,elefancia,elefancia,elephancia,None,None,None,Gr,None,None,None
EMPERATHÓR,183,None,emperador,em,None,empe,y,None,None,None,del,None,None,None
ENEBRO,184,None,None,genevre,ginebre,None,ginebre,enebro,None,ipurua,None,None,None,ginebro
ENÉLTO,184,None,anteado,None,None,None,None,entenado,None,None,antenatus,None,None,None
ENTH,184,None,None,None,None,None,None,None,None,None,None,None,None,None
EPIXTHÓLIO,185,None,None,None,None,None,None,None,None,None,epistolium,None,None,None
ERCALIX,185,None,regaliz,regalisse,regalicia,regalesia,regalicia,regaliz,None,None,Gv,None,None,regolizia
ERMOLÁITHA,185,saramago,saramago,None,remolaja,remol,None,remolacha,None,None,armoracea,None,None,ramolaccio
ÉRUCA,185,None,None,None,None,None,None,None,None,None,None,None,None,None
ESCALA,185,None,escala,échelle,None,None,escala,None,None,None,scala,schela,None,scala
ESCALÁIRA,186,None,None,None,None,None,None,None,None,None,None,None,None,None
ESCÁURIA,186,None,escoria,scorie,None,None,None,None,None,None,Gr,None,None,None
ESCOBA,186,None,escova,None,None,escombra,escoba,None,None,escoba,sco,None,None,sco
ESCOBÍLLA,187,None,None,None,None,None,None,biznaga,None,None,None,None,None,None
ESCOFINA,187,None,None,None,None,None,None,escofina,None,None,serafina,None,None,None
ESFÁNCHA,187,None,None,None,None,None,None,None,None,None,None,None,None,None
ESFARÁCH,187,None,None,None,None,None,None,None,None,None,None,None,None,None
ESFINÁCH,187,None,None,None,None,None,None,None,None,None,None,None,None,None
ESPATHÁNA,187,None,None,None,None,None,None,None,None,None,None,None,None,None
ESPECTÁCULO,187,None,None,é,espeetaele,None,espeetaele,y,None,None,spectaculum,None,None,spettáeolo
ESPÉLTA,188,None,None,épeautre,es,None,es,None,None,None,spelta,None,None,spelda
ESPLÉNI,188,None,None,None,None,None,None,None,None,None,None,None,None,None
EUCARTXTÍA,188,None,None,None,None,None,y,None,None,None,None,None,None,Eucaristía
EULÓYA,188,None,None,None,None,None,None,None,None,None,eulogia,None,None,None
EXCÁF,188,None,None,None,None,None,None,None,None,None,None,None,None,None
EXCÁLA,189,None,escala,None,None,None,None,escala,None,None,scala,None,None,None
EXCÁLIA,189,None,None,None,None,None,None,None,None,None,None,None,None,None
EXCÁMA,190,None,escama,écaille,escama,None,escata,None,None,escatá,squamma,scama,None,squama
EXCARÍ,190,None,None,None,None,None,None,escarin,None,None,None,None,None,None
EXCARLÁTH,190,None,None,None,None,None,None,None,None,None,None,None,None,None
EXCÓLA,191,None,escola,école,None,None,escola,escuela,None,escola,Gr,None,None,scuola
